similitud,child_id,child_nombre,child_tipo,child_registros,child_municipio,child_departamento,parent_id,parent_nombre,parent_registros,parent_municipio,parent_departamento
0.920,2331,JUZGADO SEGUNDO PROMISCUO MUNICIPAL AGUSTÍN,JUZGADO,26,,,2213,JUZGADO SEGUNDO PROMISCUO MUNICIPAL  Caucasia,30,Caucasia,Antioquia
0.923,2339,JUZGADO TREINTA SIETE 37 DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE,JUZGADO,26,,,1349,JUZGADO TREINTA SIETE 37 DE PEQUEÑAS CAUSAS Y  COMPETENCIA MULTIPLES DE BOGOTÁ,79,Bogotá,"Bogotá, D.C."
0.903,2375,JUZGADO SETENTA Y SIETE DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE,JUZGADO,26,,,1517,JUZGADO SETENTA Y SIETE DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ D.C.,65,Bogotá D.C.,Cundinamarca
0.892,2349,JUZGADO OCTAVO CIVIL DEL CIRCUITO DE CALI,JUZGADO,26,,Valle del Cauca,1208,Juzgado Octavo Civil del Circuito,95,,
0.951,2358,Municipio de Cleinencia Bolivar,MUNICIPIO,26,,Bolívar,96,Municipio de Clemencia Bolivar,1206,Clemencia,Bolívar
0.906,2413,JUZGADO PRIMERO ADMINISTRATIVO ORAL DEL CIRCUITO DE QUIBDÓ,JUZGADO,25,Quibdó,Chocó,1670,Juzgado Primero Administrativo Oral del Circuito,53,,
0.865,2376,SENA SERVICIO NACIONAL DE APRENDIZAJE,SENA,25,,,502,SERVICIO NACIONAL DE APRENDIZAJE SENA,316,,
0.939,2424,JUZGADO 03 CIVIL MUNICIPAL,JUZGADO,24,,,249,Juzgado Civil Municipal,582,,
0.992,2429,JUZGADO CUARENTA Y SEIS 46 CIVIL MUNICIPAL DE ORALIDAD BOGOTAD C,JUZGADO,24,,,389,JUZGADO CUARENTA Y SEIS 46 CIVIL MUNICIPAL DE ORALIDAD BOGOTA D C,405,Bogotá D.C.,Cundinamarca
0.885,2427,"JUZGADO PROMISCUO MUNICIPAL DE ZARZAL , VALLE DEL CAUCA",JUZGADO,24,Zarzal,Valle del Cauca,1943,Juzgado Promiscuo Municipal Bolívar Valle del Cauca,39,,Valle del Cauca
0.943,2458,JUZGADO SEGUNDO MUNICIPAL DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE CALI,JUZGADO,24,,Valle del Cauca,1028,JUZGADO SEGUNDO MUNICIPAL DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE Santiago de Cali,126,Cali,Valle del Cauca
0.883,2425,JUZGADO 28 DE PEQUEÑAS CAUSAS Y COMPENTENCIA MÚLTIPLE,JUZGADO,24,,,1378,JUZGADO 28 DE PEQUEÑAS CAUSAS Y COMPENTENCIA MÚLTIPLE DE BOGOTÁ D.C.,76,Bogotá D.C.,Cundinamarca
0.895,2450,JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES FLORIDABLANCA,JUZGADO,24,Floridablanca,Santander,1223,Juzgado Cuarto 04 de Pequeñas Causas y Competencias Múltiples Localidad,93,,
0.889,2433,JUZGADO SEGUNDO LABORAL DEL CIRCUITO  Sogamoso,JUZGADO,24,Sogamoso,Boyacá,519,Juzgado Segundo Laboral del Circuito,304,,
0.933,2446,JUZGADO 001 LABORAL DEL CIRCUITO,JUZGADO,24,,,1071,Juzgado Laboral del Circuito,116,,
0.800,2431,ALCALDIA MUNICIPAL DE OROCUE,ALCALDIA,24,Orocué,Casanare,1102,Alcaldía Municipal de SECRETARÍA,111,,
0.894,2487,JUZGADO CINCUENTA Y UNO 51 CIVIL MUNICIPAL,JUZGADO,23,,,347,JUZGADO CINCUENTA Y UNO 51 CIVIL MUNICIPAL DE BOGOTÁ,454,Bogotá,"Bogotá, D.C."
0.916,2464,Juzgado 38 de Pequeñas Causas y Competencia Múltiple,JUZGADO,23,,,595,JUZGADO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE - TULUÁ,256,Tuluá,Valle del Cauca
0.964,2465,JUZGADO SEXTO CIVIL MUNICIPAL HOY TRANSFORMADO EN JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE,JUZGADO,23,,,511,JUZGADO SEXTO CIVIL MUNICIPAL HOY TRANSFORMADO EN JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE POPAYÁN,310,Popayán,Cauca
0.901,2470,JUZGADO 001 MUNICIPAL DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO,23,,,653,JUZGADO MUNICIPAL DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE TUNJA,230,Tunja,Boyacá
0.914,2476,JUZGADO 28 DE PEQUEÑAS CAUSAS Y COMPENTENCIA MÚLTIPLE DE BOGOTA,JUZGADO,23,Bogotá,"Bogotá, D.C.",2425,JUZGADO 28 DE PEQUEÑAS CAUSAS Y COMPENTENCIA MÚLTIPLE,24,,
0.917,2499,JUZGADO CUARENTA Y UNO DE PEQUEÑAS CAUSAS Y COMPETENCIA DE BOGOTA,JUZGADO,23,Bogotá,"Bogotá, D.C.",835,JUZGADO CUARENTA Y UNO DE PEQUEÑAS CAUSAS Y COMPETENCIA,166,,
0.922,2502,JUZGADO SEGUNDO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MULTIPLES DE BOGOTÁ,JUZGADO,23,Bogotá,"Bogotá, D.C.",135,Juzgado Segundo de Pequeñas Causas y Competencias Múltiples,913,,
0.889,2479,Juzgado Primero Laboral del Circuito De Pasto,JUZGADO,23,Pasto,Nariño,320,Juzgado Primero Laboral del Circuito,490,,
0.914,2492,JUZGADO PRIMERO ADMINISTRATIVO ORAL DEL CIRCUITO DE TURBO,JUZGADO,23,Turbo,Antioquia,1670,Juzgado Primero Administrativo Oral del Circuito,53,,
0.848,2463,ALCALDÍA DE GFIC,ALCALDIA,23,,,10,Alcaldía de Girón,9341,Girón,Santander
0.991,2490,SECRETARIA DE HAIENDA Y DEL TESORO DE BARRANCABERMEJA,SECRETARIA,23,Barrancabermeja,Santander,798,Secretaría de Hacienda y del Tesoro de Barrancabermeja,176,Barrancabermeja,Santander
0.929,2554,JUZGADO 03 CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE CALI,JUZGADO,22,,Valle del Cauca,283,JUZGADO TERCERO CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE CALI,530,,Valle del Cauca
0.957,2510,JUZGADO VEINTIUNO 21 CIVIL MUNICIPAL,JUZGADO,22,,,1496,JUZGADO VEINTIUNO CIVIL MUNICIPAL,66,,
0.898,2526,Juzgado Cuarenta y Cuatro 44 Civil Municipal,JUZGADO,22,,,157,Juzgado Cuarenta y Cuatro 44 Civil Municipal de Bogotá,841,Bogotá,"Bogotá, D.C."
0.882,2545,JUZGADO PROMISCUO MUNICIPAL RIOFRÍO VALLE DEL CAUCA,JUZGADO,22,Riofrío,Valle del Cauca,1943,Juzgado Promiscuo Municipal Bolívar Valle del Cauca,39,,Valle del Cauca
0.916,2513,JUZGADO 68 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO,22,,,595,JUZGADO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE - TULUÁ,256,Tuluá,Valle del Cauca
0.894,2519,JUZGADO VEINTIUNO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA D.C.,JUZGADO,22,Bogotá D.C.,Cundinamarca,1442,JUZGADO VEINTIUNO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE,71,,
0.919,2547,JUZGADO SEGUNDO CIVIL DEL CIRCUITO PASTO,JUZGADO,22,Pasto,Nariño,129,Juzgado Segundo Civil del Circuito,926,,
0.897,2524,JUZGADO NOVENO LABORAL DEL CIRCUITO,JUZGADO,22,,,1994,JUZGADO NOVENO LABORAL DEL CIRCUITO DE CALI,37,,Valle del Cauca
0.833,2507,Alcaldía de CIUDAD,ALCALDIA,22,,,678,Alcaldía de Caldas,219,,Caldas
0.989,2553,Oficina de apoyo para los Jurgados Civiles Municipales de Ejecución de Sentencias de Manizales .,OFICINA_APOYO,22,Manizales,Caldas,1667,Oficina de apoyo para los Jurgados Ciles Municipales de Ejecución de Sentencias de Manizales .,54,Manizales,Caldas
0.915,2561,Juzgado Promiscuo Municipal Susa,JUZGADO,21,Susa,Cundinamarca,26,JUZGADO PROMISCUO MUNICIPAL,3699,,
0.953,2558,JUZGADO ONCE CIVIL MUNICIPAL hoy TRANSITORIO JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO,21,,,251,JUZGADO ONCE CIVIL MUNICIPAL hoy TRANSITORIO JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE IBAGUÉ,579,Ibagué,Tolima
0.926,2563,JUZGADO TREINTA Y UNO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO,21,,,2201,JUZGADO TREINTA Y UNO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,30,Bogotá,"Bogotá, D.C."
0.939,2578,JUZGADO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE SINCELEJO,JUZGADO,21,Sincelejo,Sucre,908,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE SINCELEJO,150,Sincelejo,Sucre
0.883,2591,JUZGADO PRIMERO CIVIL DEL CIRCUITO DE OCAÑA,JUZGADO,21,Ocaña,Norte de Santander,97,Juzgado Primero Civil Del Circuito,1194,,
0.869,2557,SECRETARIA DE MOVILIDAD DIRECCIÓN SERVICIOS DE MOVILIDAD,SECRETARIA,21,,,741,SECRETARIA DE MOVILIDAD DIRECCIÓN SERVICIOS,195,,
0.884,2658,JUZGADO TREINTA Y TRES CIVIL MUNICIPAL DE BOGOTÁ,JUZGADO,20,Bogotá,"Bogotá, D.C.",194,JUZGADO TREINTA Y TRES CIVIL MUNICIPAL,703,,
0.916,2652,Juzgado 53 de Pequeñas Causas y COMPETENCIA MULTIPLE,JUZGADO,20,,,595,JUZGADO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE - TULUÁ,256,Tuluá,Valle del Cauca
0.942,2665,JUZGADO TREINTA Y DOS 32 DE PEQUEÑAS CAUSAS Y COMPETENCIA - Bogotá,JUZGADO,20,Bogotá,"Bogotá, D.C.",1790,JUZGADO TREINTA Y DOS 32 DE PEQUEÑAS CAUSAS Y COMPETENCIA,46,,
0.914,2631,JUZGADO CUARENTA Y DOS CIVIL DEL CIRCUITO DE ORALIDAD,JUZGADO,20,,,722,JUZGADO CUARENTA Y DOS CIVIL DEL CIRCUITO DE ORALIDAD DE BOGOTÁ,201,Bogotá,"Bogotá, D.C."
0.897,2666,JUZGADO CIVIL DEL CIRCUITO UBATE,JUZGADO,20,Ubaté,Cundinamarca,559,JUZGADO CIVIL DEL CIRCUITO,281,,
0.913,2616,JUZGADO SEGUNDO MUNICIPAL DE PEQUEÑAS CAUSAS  Y COMPETENCIAS MÚLTIPLES,JUZGADO,20,,,1308,JUZGADO SEGUNDO MUNICIPAL DE PEQUEÑAS CAUSAS Y COMPETENCIA,82,,
0.889,2623,JUZGADO SEGUNDO LABORAL DEL CIRCUITO DE PASTO,JUZGADO,20,Pasto,Nariño,519,Juzgado Segundo Laboral del Circuito,304,,
0.889,2611,ALCALDÍA DE SOCIAL,ALCALDIA,20,,,127,Alcaldía de SOACHA,930,Soacha,Cundinamarca
0.820,2651,ALCALDIA MUNICIPAL DE TURBANA,ALCALDIA,20,Turbaná,Bolívar,1102,Alcaldía Municipal de SECRETARÍA,111,,
0.824,2630,MINISTERIO DE DEFENSA,MINISTERIO,20,,,1131,Ministerio de Defensa Nacional,107,,
0.889,2685,JUZGADO SESENTA Y UNO 61 CIVIL MUNICIPAL,JUZGADO,19,,,1352,Juzgado Sesenta y Uno 61 Civil Municipal de Bogotá,79,Bogotá,"Bogotá, D.C."
0.932,2717,Juzgado Primero Civil Municipal de Oralidad  Norte de Santander,JUZGADO,19,,Norte de Santander,1178,Juzgado Primero Civil Municipal de Oralidad de Ocaña Norte de Santander,99,Ocaña,Norte de Santander
0.900,2724,JUZGADO PROMISCUO MUNICIPAL DE BOJACA CUNDINAMARCA,JUZGADO,19,Bojacá,Cundinamarca,1853,JUZGADO PROMISCUO MUNICIPAL DE NARIÑO CUNDINAMARCA,43,,Cundinamarca
0.944,2682,JUZGADO TERCERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE SEDE DESCONCENTRADA SILOÉ,JUZGADO,19,,,1600,JUZGADO 03 DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE  SEDE DESCONCENTRADA SILOE,58,,
0.899,2699,JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MULTIPLES DE IBAGUE,JUZGADO,19,Ibagué,Tolima,719,Juzgado Cuarto 04 de Pequeñas Causas y Competencias Múltiples,201,,
0.892,2725,JUZGADO QUINTO CIVIL DEL CIRCUITO  Palmira,JUZGADO,19,Palmira,Valle del Cauca,343,JUZGADO QUINTO CIVIL DEL CIRCUITO,462,,
0.900,2681,JUZGADO SEGUNDO LABORAL DEL CIRCUITO DE CALI,JUZGADO,19,,Valle del Cauca,519,Juzgado Segundo Laboral del Circuito,304,,
0.897,2690,JUZGADO OCTAVO LABORAL DEL CIRCUITO,JUZGADO,19,,,1485,JUZGADO OCTAVO LABORAL DEL CIRCUITO DE CALI,67,,Valle del Cauca
0.950,2680,ALCALDÍA DE ERTIFIE,ALCALDIA,19,,,177,ALCALDÍA DE CERTIFIED,780,,
0.825,2722,ALCALDIA MUNICIPAL DE CLEMENCIA,ALCALDIA,19,Clemencia,Bolívar,1102,Alcaldía Municipal de SECRETARÍA,111,,
0.961,2705,Corporación Autónoma Regional del Valle del Cauca - CVC,CAR,19,,Valle del Cauca,1392,Corporación Autónoma Regional del Valle del Cauca,75,,Valle del Cauca
0.909,2780,JUZGADO PROMISCUO MUNICIPAL EL PEÑÓN CUNDINAMARCA,JUZGADO,18,El Peñón,Cundinamarca,1853,JUZGADO PROMISCUO MUNICIPAL DE NARIÑO CUNDINAMARCA,43,,Cundinamarca
0.886,2784,JUZGADO PRIMERO PROMISCUO MUNICIPAL- Caucasia,JUZGADO,18,Caucasia,Antioquia,50,JUZGADO PRIMERO PROMISCUO MUNICIPAL,2026,,
0.933,2800,JUZGADO PRIMERO PROMISCUO MUNICIPAL OIBA,JUZGADO,18,Oiba,Santander,50,JUZGADO PRIMERO PROMISCUO MUNICIPAL,2026,,
0.916,2743,Juzgado 63 de Pequeñas Causas y Competencia Múltiple,JUZGADO,18,,,595,JUZGADO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE - TULUÁ,256,Tuluá,Valle del Cauca
0.883,2765,JUZGADO QUINCE DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO,18,,,595,JUZGADO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE - TULUÁ,256,Tuluá,Valle del Cauca
0.913,2799,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE SANTIAGO DE CALI,JUZGADO,18,Cali,Valle del Cauca,2276,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE CALI,28,,Valle del Cauca
0.906,2747,JUZGADO 30 DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES,JUZGADO,18,,,182,JUZGADO 30 DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLE DE BOGOTÁ,761,Bogotá,"Bogotá, D.C."
0.902,2751,JUZGADO OCTAVO DE FAMILIA DE ORALIDAD,JUZGADO,18,,,1807,JUZGADO OCTAVO DE FAMILIA DE ORALIDAD DE CALI,45,,Valle del Cauca
0.905,2761,JUZGADO CATORCE DE FAMILIA DE ORALIDAD,JUZGADO,18,,,1646,JUZGADO CATORCE DE FAMILIA DE ORALIDAD DE CALI,55,,Valle del Cauca
1.000,2802,"MINISTERIO , DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES",MINISTERIO,18,,,322,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,488,,
0.947,2817,Juzgado 01 Promiscuo Municipal,JUZGADO,17,,,26,JUZGADO PROMISCUO MUNICIPAL,3699,,
0.900,2869,JUZGADO PROMISCUO MUNICIPAL  Neira,JUZGADO,17,Neira,Caldas,26,JUZGADO PROMISCUO MUNICIPAL,3699,,
0.919,2871,JUZGADO TERCERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA,JUZGADO,17,Bogotá,"Bogotá, D.C.",125,Juzgado Tercero de Pequeñas Causas y Competencia Múltiple,937,,
0.929,2876,JUZGADO SETENTA Y NUEVE DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE,JUZGADO,17,,,2328,JUZGADO SETENTA Y NUEVE DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA,27,Bogotá,"Bogotá, D.C."
0.912,2815,JUZGADO QUINCE DE PEQUEÑAS CAUSAS Y COMPETENCIAS MULTIPLES,JUZGADO,17,,,422,JUZGADO QUINCE DE PEQUEÑAS CAUSAS Y COMPETENCIAS MULTIPLE DE BOGOTÁ,375,Bogotá,"Bogotá, D.C."
0.928,2819,JUZGADO NOVENO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES,JUZGADO,17,,,1655,JUZGADO NOVENO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES DE NEIVA,55,Neiva,Huila
0.951,2830,JUZGADO 012 DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES DE BARRANQUILLA,JUZGADO,17,Barranquilla,Atlántico,189,Juzgado Doce de Pequeñas Causas y Competencias Múltiples de Barranquilla,723,Barranquilla,Atlántico
0.884,2849,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MULTIPLES DE NEIVA HUILA,JUZGADO,17,Neiva,Huila,618,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES,245,,
0.884,2811,JUZGADO CUARENTA Y OCHO CIVIL CIRCUITO,JUZGADO,17,,,2302,JUZGADO CUARENTA Y OCHO CIVIL CIRCUITO DE BOGOTA,27,Bogotá,"Bogotá, D.C."
0.898,2812,JUZGADO ÚNICO DE FAMILIA,JUZGADO,17,,,1225,JUZGADO QUINTO DE FAMILIA,93,,
0.880,2805,SECRETARIA DE HACIENDA Y FINANZAS,SECRETARIA,17,,,393,Secretaría de Hacienda y Finanzas Públicas,403,,
0.896,2827,Secretaria de Hacienda Departamental de Valledupar,SECRETARIA,17,Valledupar,Cesar,1292,Secretaria de Hacienda Departamental del Cesar,84,,Cesar
0.917,2933,JUZGADO DÉCIMO CIVIL MUNICIPAL DE ORALIDAD SANTIAGO DE CALI,JUZGADO,16,Cali,Valle del Cauca,1286,JUZGADO DÉCIMO CIVIL MUNICIPAL DE ORALIDAD DE CALI,85,,Valle del Cauca
0.895,2939,JUZGADO VEINTIOCHO CIVIL MUNICIPAL DE ORALIDAD Santiago de Cali,JUZGADO,16,Cali,Valle del Cauca,1437,JUZGADO VEINTIOCHO CIVIL MUNICIPAL DE ORALIDAD CALI,72,,Valle del Cauca
0.913,2929,JUZGADO PROMISCUO MUNICIPAL CURUMANI - CESAR,JUZGADO,16,Curumaní,Cesar,1180,"JUZGADO SEGUNDO PROMISCUO MUNICIPAL CURUMANÍ , CESAR",99,Curumaní,Cesar
0.927,2906,JUZGADO TERCERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE TUNJA,JUZGADO,16,Tunja,Boyacá,125,Juzgado Tercero de Pequeñas Causas y Competencia Múltiple,937,,
0.962,2932,JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE HUILA,JUZGADO,16,,Huila,1805,JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE NEIVA - HUILA,45,Neiva,Huila
0.881,2907,JUZGADO VEINTIUNO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIP´LE DE BOGOTA,JUZGADO,16,Bogotá,"Bogotá, D.C.",2162,Juzgado Veintiuno 21 de Pequeñas Causas y Competencias Múltiples,31,,
0.971,2922,Juzgado de Pequeñas Causas y Competencias Múltiples de Barranquilla,JUZGADO,16,Barranquilla,Atlántico,2692,JUZGADO 022 DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES DE Barranquilla,19,Barranquilla,Atlántico
0.896,2910,JUZGADO TREINTA Y CUATRO CIVIL DEL CIRCUITO,JUZGADO,16,,,2792,JUZGADO TREINTA Y CUATRO CIVIL DEL CIRCUITO DE BOGOTÁ,18,Bogotá,"Bogotá, D.C."
0.903,2885,JUZGADO CIVIL LABORAL DEL CIRCUITO,JUZGADO,16,,,1071,Juzgado Laboral del Circuito,116,,
0.887,2892,JUZGADO SÉPTIMO ADMINISTRATIVO DEL CIRCUITO,JUZGADO,16,,,2530,JUZGADO SÉPTIMO ADMINISTRATIVO DEL CIRCUITO DE POPAYÁN,22,Popayán,Cauca
0.836,2887,MINISTERIO DE EDUCACIÓN,MINISTERIO,16,,,484,Ministerio de Educación Nacional,328,,
0.919,2941,JUZGADO PROMISCUO MUNICIPAL DE PUERTO,JUZGADO,15,,,1971,JUZGADO PROMISCUO MUNICIPAL DE CURITI,38,Curití,Santander
0.986,2946,JUZGADO PRIMERO PROMISCUO MUNCIPAL,JUZGADO,15,,,50,JUZGADO PRIMERO PROMISCUO MUNICIPAL,2026,,
0.897,2985,JUZGADO SEGUNDO PROMISCUO MUNICIPAL DE SINCÉ,JUZGADO,15,Sincé,Sucre,2331,JUZGADO SEGUNDO PROMISCUO MUNICIPAL AGUSTÍN,26,,
0.909,2952,JUZGADO 002 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO,15,,,51,Juzgado Segundo de Pequeñas Causas y Competencia Múltiple,2014,,
0.907,2955,JUZGADO TERCERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE SEDE DESCONCENTRADA SILOÉ SANTIAGO DE CALI,JUZGADO,15,Cali,Valle del Cauca,2682,JUZGADO TERCERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE SEDE DESCONCENTRADA SILOÉ,19,,
0.913,2942,Juzgado Cuarto de Pequeñas Causas y Competencias Múltiples Localidad Suroccidente de,JUZGADO,15,,,462,Juzgado Cuarto 04 de Pequeñas Causas y Competencias Múltiples Localidad Suroccidente de Barranquilla,344,Barranquilla,Atlántico
0.908,2981,Juzgado Primero De Pequeñas Causas Y Competencias Múltiple DE SINCELEJO,JUZGADO,15,Sincelejo,Sucre,625,Juzgado Primero de Pequeñas Causas y Competencias Múltiples,242,,
0.978,2968,Juzgado Octave Civil del Circuito Bucaramanga,JUZGADO,15,Bucaramanga,Santander,1674,Juzgado Octavo Civil Del Circuito Bucaramanga,53,Bucaramanga,Santander
0.918,2967,JUZGADO ONCE LABORAL DEL CIRCUITO,JUZGADO,15,,,1071,Juzgado Laboral del Circuito,116,,
0.814,2951,Alcaldía Municipal EL RETEN,ALCALDIA,15,El Retén,Magdalena,1102,Alcaldía Municipal de SECRETARÍA,111,,
0.800,2998,ALCALDIA MUNICIPAL DE AYAPEL,ALCALDIA,15,Ayapel,Córdoba,1102,Alcaldía Municipal de SECRETARÍA,111,,
0.943,2944,SECRETARÍA DISTRITAL DE MOVILIDAD-SDM,SECRETARIA,15,,,327,Secretaría Distrital de Movilidad,480,,
0.861,2948,INSTITUTO DE TRANSITO Y TRANSPORTE,TRANSITO,15,,,163,INSTITUTO DE TRANSITO Y TRANSPORTE DE ACACIAS,811,Acacías,Meta
0.921,3005,JUZGADO SEGUNDO PROMISCUO MUNICIPAL DE CAJIC À,JUZGADO,14,,,1192,JUZGADO SEGUNDO PROMISCUO MUNICIPAL DE COTA,97,Cota,Cundinamarca
0.911,3021,Juzgado Promiscuo Municipal de Cabrera Cundinamarca,JUZGADO,14,Cabrera,Cundinamarca,1853,JUZGADO PROMISCUO MUNICIPAL DE NARIÑO CUNDINAMARCA,43,,Cundinamarca
0.882,3036,JUZGADO PROMISCUO MUNICIPAL DE LA PALMA CUNDINAMARCA,JUZGADO,14,La Palma,Cundinamarca,1853,JUZGADO PROMISCUO MUNICIPAL DE NARIÑO CUNDINAMARCA,43,,Cundinamarca
0.897,3048,JUZGADO SEGUNDO PROMISCUO MUNICIPAL DE PATÍA,JUZGADO,14,Patía,Cauca,2331,JUZGADO SEGUNDO PROMISCUO MUNICIPAL AGUSTÍN,26,,
0.914,3064,JUZGADO PROMISCUO MUNICIPAL DE PUERTO RONDÓN,JUZGADO,14,Puerto Rondón,Arauca,2941,JUZGADO PROMISCUO MUNICIPAL DE PUERTO,15,,
0.891,3022,JUZGADO SÉPTIMO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ D.C.,JUZGADO,14,Bogotá D.C.,Cundinamarca,367,Juzgado Séptimo de Pequeñas Causas y Competencia Múltiple,428,,
0.957,3071,Juzgado Cuarto de Pequeñas Causas y Competencia Múltiple Cali,JUZGADO,14,,Valle del Cauca,149,Juzgado Cuarto de Pequeñas Causas y Competencia Múltiple,860,,
0.900,3006,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA CASAS DE JUSTICIA,JUZGADO,14,,,2883,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y CASAS DE JUSTICIA,16,,
0.881,3009,JUZGADO VEINTE CIVIL DEL CIRCUITO,JUZGADO,14,,,559,JUZGADO CIVIL DEL CIRCUITO,281,,
0.902,3017,JUZGADO DIECINUEVE CIVIL DEL CIRCUITO,JUZGADO,14,,,1019,JUZGADO DIECINUEVE CIVIL DEL CIRCUITO DE CALI,127,,Valle del Cauca
0.907,3039,JUZGADO SEGUNDO CIVIL DEL CIRCUITO  ITAGÜÍ,JUZGADO,14,Itagüí,Antioquia,129,Juzgado Segundo Civil del Circuito,926,,
0.897,3007,JUZGADO QUINTO LABORAL DEL CIRCUITO DE CALI,JUZGADO,14,,Valle del Cauca,821,JUZGADO QUINTO LABORAL DEL CIRCUITO,170,,
0.893,3004,JUZGADO SEXTO MUNICIPAL LABORAL DE PEQUEÑAS CAUSAS,JUZGADO,14,,,2266,JUZGADO SEXTO ( 6 ) MUNICIPAL LABORAL DE PEQUEÑAS CAUSAS DE BOGOTÁ,28,Bogotá,"Bogotá, D.C."
0.893,3003,Alcaldía Municipal Resolución,ALCALDIA,14,,,1901,ALCALDIA MUNICIPAL RIOSUCIO,41,Riosucio,Caldas
0.839,3075,Alcaldía Municipal de Lejanías,ALCALDIA,14,Lejanías,Meta,1102,Alcaldía Municipal de SECRETARÍA,111,,
0.862,3027,SuperVigilancia Superintendencia de Vigilancia y Seguridad Privada,SUPERINTENDENCIA,14,,,373,Superintendencia De Vigilancia Y Seguridad Privada,421,,
0.974,3094,Oficina de Apoyo de los Juzgados Civiles Municipales de Ejecución de Sentencia de Barranquilla 2023 .,JUZGADO,13,Barranquilla,Atlántico,12,Oficina de Apoyo de los Juzgados Civiles Municipales de Ejecución de Sentencia de Barranquilla,9216,Barranquilla,Atlántico
