similitud,child_id,child_nombre,child_tipo,child_registros,child_municipio,child_departamento,parent_id,parent_nombre,parent_registros,parent_municipio,parent_departamento
0.926,412,JUZGADO QUINTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE PASTO,JUZGADO,385,Pasto,Nariño,49,JUZGADO QUINTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,2036,,
0.902,430,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE NEIVA - HUILA,JUZGADO,369,Neiva,Huila,143,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,897,,
0.899,435,Juzgado Quinto de Pequeñas Causas y Competencias Múltiples,JUZGADO,363,,,218,JUZGADO QUINTO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MULTIPLES DE CARTAGENA,643,Cartagena de Indias,Bolívar
0.886,439,JUZGADO TREINTA Y CINCO CIVIL MUNICIPAL DE BOGOTÁ,JUZGADO,361,Bogotá,"Bogotá, D.C.",269,JUZGADO TREINTA Y CINCO CIVIL MUNICIPAL,551,,
0.919,447,JUZGADO SEGUNDO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE CÚCUTA,JUZGADO,353,Cúcuta,Norte de Santander,51,Juzgado Segundo de Pequeñas Causas y Competencia Múltiple,2014,,
0.882,453,JUZGADO OCTAVO CIVIL MUNICIPAL DE CALI,JUZGADO,351,,Valle del Cauca,74,JUZGADO OCTAVO CIVIL MUNICIPAL,1504,,
0.886,455,JUZGADO SÉPTIMO CIVIL MUNICIPAL DE CALI,JUZGADO,349,,Valle del Cauca,85,JUZGADO SÉPTIMO CIVIL MUNICIPAL,1284,,
0.903,465,JUZGADO CUARTO 4 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTA,JUZGADO,340,Bogotá,"Bogotá, D.C.",149,Juzgado Cuarto de Pequeñas Causas y Competencia Múltiple,860,,
0.886,467,Juzgado Primero Civil Municipal de Cali,JUZGADO,339,,Valle del Cauca,20,Juzgado Primero Civil Municipal,4599,,
0.923,486,Juzgado Catorce 14 de Pequeñas Causas y Competencia Múltiple,JUZGADO,326,,,485,Juzgado Catorce 14 de Pequeñas Causas y Competencia Múltiple de Bogotá,327,Bogotá,"Bogotá, D.C."
0.940,504,JUZGADO 40 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE,JUZGADO,315,,,183,JUZGADO 40 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTA,758,Bogotá,"Bogotá, D.C."
0.909,505,JUZGADO TREINTA Y DOS CIVIL MUNICIPAL SANTIAGO DE CALI,JUZGADO,314,Cali,Valle del Cauca,487,JUZGADO TREINTA Y DOS CIVIL MUNICIPAL DE CALI,325,,Valle del Cauca
0.915,512,Juzgado Tercero de Pequeñas Causas y Competencias Múltiples de Soledad,JUZGADO,309,Soledad,Atlántico,173,JUZGADO TERCERO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES,798,,
0.864,513,Secretaria de Tránsito y Transporte,SECRETARIA,309,,,8,SECRETARÍA DE TRÁNSITO Y TRANSPORTE DE TURBACO,12143,Turbaco,Bolívar
0.912,516,JUZGADO CINCUENTA Y SEIS CIVIL MUNICIPAL DE ORALIDAD,JUZGADO,306,,,434,JUZGADO CINCUENTA Y SEIS CIVIL MUNICIPAL DE ORALIDAD DE BOGOTA,364,Bogotá,"Bogotá, D.C."
0.912,541,JUZGADO SEGUNDO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE PALMIRA,JUZGADO,290,Palmira,Valle del Cauca,51,Juzgado Segundo de Pequeñas Causas y Competencia Múltiple,2014,,
0.892,551,JUZGADO DIECIOCHO CIVIL MUNICIPAL DE CALI,JUZGADO,285,,Valle del Cauca,280,JUZGADO DIECIOCHO CIVIL MUNICIPAL,539,,
0.897,559,JUZGADO CIVIL DEL CIRCUITO,JUZGADO,281,,,522,JUZGADO SEXTO CIVIL DEL CIRCUITO,301,,
0.894,566,JUZGADO VEINTE CIVIL MUNICIPAL DE ORALIDAD,JUZGADO,276,,,113,JUZGADO VEINTE CIVIL MUNICIPAL DE ORALIDAD DE BOGOTÁ,1048,Bogotá,"Bogotá, D.C."
0.928,570,JUZGADO CUARENTA Y UNO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA,JUZGADO,276,Bogotá,"Bogotá, D.C.",344,JUZGADO CUARENTA Y UNO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE,462,,
0.992,574,JUZGADO 73 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOT À,JUZGADO,273,,,153,JUZGADO 73 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTA,847,Bogotá,"Bogotá, D.C."
0.958,582,Juzgado Diecisiete 17 Civil Municipal,JUZGADO,268,,,292,Juzgado Diecisiete Civil Municipal,521,,
0.916,595,JUZGADO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE - TULUÁ,JUZGADO,256,Tuluá,Valle del Cauca,419,Juzgado 67 de Pequeñas Causas y Competencia Múltiple,376,,
0.954,597,JUZGADO CINCUENTA Y SEIS 56 DE PEQUEÑAS CAUSAS Y COMPETENCÍA MÚLTIPLE DE,JUZGADO,255,,,267,JUZGADO CINCUENTA Y SEIS 56 DE PEQUEÑAS CAUSAS Y COMPETENCÍA MÚLTIPLE DE BOGOTA,554,Bogotá,"Bogotá, D.C."
0.882,599,JUZGADO CUARTO CIVIL MUNICIPAL DE CALI,JUZGADO,253,,Valle del Cauca,42,JUZGADO CUARTO CIVIL MUNICIPAL,2213,,
0.916,602,JUZGADO 74 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO,252,,,595,JUZGADO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE - TULUÁ,256,Tuluá,Valle del Cauca
0.898,618,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES,JUZGADO,245,,,71,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MULTIPLES DE CARTAGENA,1591,Cartagena de Indias,Bolívar
0.901,625,Juzgado Primero de Pequeñas Causas y Competencias Múltiples,JUZGADO,242,,,117,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MULTIPLES DE CARTAGENA,997,Cartagena de Indias,Bolívar
0.886,643,JUZGADO SEGUNDO CIVIL MUNICIPAL DUITAMA,JUZGADO,234,Duitama,Boyacá,24,JUZGADO SEGUNDO CIVIL MUNICIPAL,4110,,
0.889,645,JUZGADO QUINTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA D.C,JUZGADO,234,Bogotá D.C.,Cundinamarca,49,JUZGADO QUINTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,2036,,
